product_name,product_url,category,status,stars
Web Design & Development Internship Training Program,https://yoshops.com/products/web-design-development-internship-training-program1,Bengaluru,Reviewd,5.0 star rating
"Fun Activities for Kids LKG to STD 10(Singing, Dancing, Drawing, Craft, Music, Yoga, Karate)",https://yoshops.com/products/fun-activities-for-kids-lkg-to-std-10-singing-dancing-drawing-craft-music-yoga-karate,Bengaluru,Reviewd,5.0 star rating
Drone Workshop Training Program,https://yoshops.com/products/drone-workshop-training-program,Bengaluru,Reviewd,5.0 star rating
Cash On Delivery Services,https://yoshops.com/products/cash-on-delivery-services,Bengaluru,,5.0 star rating
Digital Signature Certificate (DSC) Class 2 valid for 2 Years with USB Device,https://yoshops.com/products/digital-signature-certificate-dsc-class-2-valid-for-2-years-with-usb-device,Bengaluru,,5.0 star rating
Sales and Marketing Internship Training Course,https://yoshops.com/products/sales-and-marketing-internship-training-course1,Bengaluru,,5.0 star rating
ONLINE TUITION FOR STD 4 and STD 5(FREE 5 DAYS DEMO CBSE),https://yoshops.com/products/online-tuition-for-class-4th-5th-free-5-days-demo-class,Bengaluru,,5.0 star rating
Olifair Pearls Saffron and Radiant Effect Night Cream 50 ml(Riya Fruity Soap Free),https://yoshops.com/products/olifair-pearls-saffron-and-radiant-effect-night-cream-50ml,Bengaluru,,5.0 star rating
Free Gift Value of Rs.999 and Get Free Paytm Money Demat Account,https://yoshops.com/products/free-gift-value-of-rs-999-and-get-free-paytm-money-demat-account,Bengaluru,,5.0 star rating
YOLO Investor The Small Investment Service,https://yoshops.com/products/yolo-investor-the-small-investment-service,Bengaluru,,5.0 star rating
"Hammer Airflow True Wireless Earbud with Mic (Black & White), 5 Hours Playtime,with Magnetic Charging case (300mah),Built-in Voice Assistant & Bluetooth 5.0",https://yoshops.com/products/hammer-airflow-true-wireless-earbud-with-mic-black-white-5-hours-playtime-with-magnetic-charging-case-300mah-built-in-voice-assistant-bluetooth-5-0,Bengaluru,,5.0 star rating
Data Science Basic Training Program for Everyone(Age=10 to 60),https://yoshops.com/products/data-science-basic-training-program-for-everyone-age-10-t0-60,Bengaluru,,5.0 star rating
Panasonic Service center,https://yoshops.com/products/panasonic-service-center,Bengaluru,,5.0 star rating
Interior Designer Service,https://yoshops.com/products/interior-designer-service,Bengaluru,Reviewd,5.0 star rating
Detective& Security Services,https://yoshops.com/products/detective-security-services,Bengaluru,,5.0 star rating
Wedding & Event Planer,https://yoshops.com/products/event-weddingplaner,Bengaluru,,5.0 star rating
Coaching Service,https://yoshops.com/products/coaching-service,Bengaluru,,5.0 star rating
Gym & Fitness Service,https://yoshops.com/products/fitness-yoga-servies,Bengaluru,,5.0 star rating
Photography Services,https://yoshops.com/products/photography-services,Bengaluru,,5.0 star rating
